time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.0,37.92387,128.181881,7000.2068784,0.046,-0.074,359.987,1.0,37.968239,128.181881,7002.7290984,0.0,-0.075,180.0,1.0,1810.6196095041905,1810.6412205537335,4939.135131005117,-0.10407379416191469,-0.04574132141326083,-179.95425867858677,False,False,1707820.2639446151,1707884.1280969814,True
0.0166,37.92414,128.181881,7000.244064,0.212,-0.226,359.971,1.0,37.967969,128.181881,7002.5776128,0.0,-0.185,180.0,1.0,1810.6196095041905,1810.6412205537335,4879.022520025118,-0.2550575457125673,-0.1575964571628127,-179.8424035428372,False,False,1707820.6286107793,1707882.6425307223,True
0.0333,37.924409,128.181881,7000.236444,0.537,-0.438,359.97,1.0,37.9677,128.181881,7002.3919896,0.0,-0.287,180.0,1.0,1793.110418703525,1793.1448107400627,4819.132558008078,-0.46459735462926793,-0.26137221988190623,-179.73862778011812,False,False,1676271.355555118,1676354.1635468183,True
0.05,37.924679,128.181881,7000.1815799999995,0.943,-0.635,359.965,1.0,37.967431,128.181881,7002.1704,0.001,-0.381,180.0,1.0,1799.7791968714841,1793.1594540607462,4759.131285953622,-0.6598724812812856,-0.357056345438111,-179.6429436545619,False,False,1688250.9094371893,1676378.2481968766,True
0.0666,37.924949,128.181881,7000.076119200001,1.377,-0.814,359.958,1.0,37.967162,128.181881,7001.9122344,0.001,-0.469,180.0,1.0,1810.629369448436,1803.9792692251804,4699.1300235742565,-0.8374412769037991,-0.4466125253384425,-179.55338747466158,False,False,1707836.653228973,1695835.9045105868,True
0.0833,37.925218,128.181881,6999.9167088,1.823,-0.98,359.95,1.0,37.966893,128.181881,7001.616273600001,0.002,-0.553,180.0,1.0,1793.1357681358222,1793.197937238711,4639.240090123425,-1.0022379189387058,-0.532009947678313,-179.4679900523217,False,False,1676313.6746763762,1676441.8212880832,True
0.1,37.925488,128.181881,6999.700605600001,2.276,-1.136,359.941,1.0,37.966625,128.181881,7001.2822128,0.004,-0.634,180.0,1.0,1799.8227179793205,1786.5565144058576,4579.350165889036,-1.1572934317421013,-0.6142112928851553,-179.38578870711487,False,False,1688324.5220211416,1664551.2137951588,True
0.1166,37.925757,128.181881,6999.4259808,2.735,-1.284,359.931,1.0,37.966357,128.181881,7000.909747200001,0.005,-0.714,180.0,1.0,1803.98808958572,1797.346295984103,4519.57156976624,-1.3046357148869836,-0.695189908662712,-179.3048100913373,False,False,1695827.43447818,1683882.3254162665,True
0.1333,37.926027,128.181881,6999.091310400001,3.199,-1.427,359.921,1.0,37.966089,128.181881,7000.498572,0.007,-0.793,180.001,1.0,1799.8877664609943,1786.614183430179,4459.681662192139,-1.447237144867715,-0.7749208453709785,-179.22507915462904,False,False,1688435.6247271076,1664646.5595380466,True
0.15,37.926296,128.181881,6998.6953752,3.668,-1.567,359.911,1.0,37.965822,128.181881,7000.0483824,0.008,-0.871,180.001,1.0,1793.2670932733738,1779.982829305642,4400.01440112046,-1.5871152451036332,-0.8533820972882843,-179.14661790271174,False,False,1676537.1899097727,1652816.4607807223,True
