time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.3,37.92873,128.181876,6991.617919200001,-19.088,-3.298,0.368,1.0,37.963431,128.18188,6994.217558400001,0.028,-1.588,180.004,1.0,1800.9841770976366,1767.1090381744414,3862.8985407343234,3.3562027635592617,-1.5494417670998484,-178.45055823290014,False,False,1690336.3529453482,1629927.020017983,False
0.3166,37.929001,128.181875,6990.441696000001,-20.232,-3.431,0.405,1.0,37.963167,128.18188,6993.3696048,0.031,-1.669,180.004,1.0,1818.7127255402695,1771.1190479565435,3803.3428747745215,3.4978418509154645,-1.624894368980416,-178.37510563101958,False,False,1722410.804079136,1637012.8690521584,False
0.3333,37.929272,128.181875,6989.1868343999995,-21.382,-3.563,0.443,1.0,37.962903,128.18188,6992.4811128,0.034,-1.751,180.004,1.0,1808.004165408534,1760.5852277093904,3743.7872699851932,3.639625910776871,-1.7005857745937312,-178.29941422540628,False,False,1702980.0401368735,1618402.9869191032,False
0.35,37.929543,128.181874,6987.852420000001,-22.54,-3.694,0.48,1.0,37.96264,128.18188,6991.5520824000005,0.037,-1.834,180.005,1.0,1808.216052482657,1753.9977576748854,3684.3430819800215,3.781045508059064,-1.7764688471271861,-178.22353115287282,False,False,1703350.0691625744,1606817.771193131,False
0.3666,37.929813,128.181873,6986.438148,-23.706,-3.825,0.518,1.0,37.962376,128.18188,6990.5822088,0.039,-1.916,180.005,1.0,1812.629272063878,1771.3460896978006,3624.8989996072423,3.923516186184154,-1.8505042516909536,-178.14949574830905,False,False,1711325.9926354964,1637387.6777617729,False
0.3833,37.930084,128.181872,6984.943408800001,-24.88,-3.954,0.556,1.0,37.962113,128.18188,6989.571492000001,0.042,-1.999,180.005,1.0,1808.6657182527567,1754.1597083897275,3565.4550435305277,4.064975763146863,-1.924638358331418,-178.0753616416686,False,False,1704134.7354712887,1607082.4225409888,False
0.4,37.930356,128.181871,6983.367897600001,-26.062,-4.082,0.595,1.0,37.961851,128.18188,6988.5196272,0.045,-2.083,180.006,1.0,1815.5682904708406,1747.5849245924744,3506.0112365831283,4.206590431679917,-1.998821562475369,-178.00117843752463,False,False,1716627.5534746042,1595560.5003335231,False
0.4166,37.930627,128.18187,6981.7107000000005,-27.254,-4.209,0.633,1.0,37.961588,128.18188,6987.4269192,0.049,-2.167,180.006,1.0,1820.0718536945276,1764.90425191912,3446.5676065644925,4.348148180523676,-2.0719912927207087,-177.9280087072793,False,False,1724797.969541672,1625966.759418267,False
0.4333,37.930898,128.181869,6979.971511200001,-28.456,-4.336,0.672,1.0,37.961326,128.18188,6986.293063200001,0.052,-2.251,180.006,1.0,1809.4491556766734,1747.768763680867,3387.235502503236,4.490959885642481,-2.1440945104804787,-177.85590548951953,False,False,1705503.2611098224,1595859.9565175036,False
0.45,37.93117,128.181868,6978.1497216,-29.668,-4.462,0.711,1.0,37.961064,128.18188,6985.1177544,0.055,-2.335,180.007,1.0,1816.3943016539279,1747.8669497084622,3327.79231976484,4.633957873840748,-2.2150568328153,-177.7849431671847,False,False,1718076.4015077588,1596020.0419677687,False
0.4666,37.931441,128.181867,6976.2450264,-30.89,-4.587,0.75,1.0,37.960803,128.18188,6983.9009928000005,0.058,-2.42,180.007,1.0,1820.9504962456542,1751.7984438074216,3268.57205430348,4.777189914470316,-2.2858331516776627,-177.71416684832235,False,False,1726343.9481767926,1602887.566534094,False
0.4833,37.931713,128.181866,6974.256511200001,-32.123,-4.711,0.789,1.0,37.960541,128.18188,6982.642778400001,0.062,-2.506,180.008,1.0,1817.0212242861385,1748.073879176859,3209.129473802274,4.920748224368187,-2.3563127237549493,-177.64368727624506,False,False,1719177.1573687082,1596357.4773330123,False
