time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.0,37.92387,128.181881,7000.217851200001,-0.963,-0.175,359.966,1.0,37.968239,128.181881,7002.7290984,0.0,-0.075,180.0,1.0,1810.628734542386,1810.6412205537335,4939.135125413933,-0.20694352206995523,-0.04586860990850651,-179.9541313900915,False,False,1707836.8935657514,1707884.1280969814,True
0.0166,37.92414,128.181881,7000.320264000001,-3.317,-0.278,0.004,1.0,37.967969,128.181881,7002.5776128,0.0,-0.185,180.0,1.0,1810.628734542386,1810.6412205537335,4879.022484175069,-0.3045349746896631,-0.15849129581614507,-179.84150870418387,False,False,1707837.8978922365,1707882.6425307223,True
0.0333,37.92441,128.181881,7000.3982928000005,-3.158,0.315,0.092,1.0,37.9677,128.181881,7002.3919896,0.0,-0.287,180.0,1.0,1799.7822634032739,1793.1448107400627,4819.02116885091,0.3054786843772869,-0.2632959299173458,-179.73670407008268,False,False,1688258.553748593,1676354.1635468183,True
0.05,37.924679,128.181881,7000.4449272,-1.932,0.889,0.123,1.0,37.967431,128.181881,7002.1704,0.001,-0.381,180.0,1.0,1793.1125350641319,1793.1594540607462,4759.131183188163,0.8768954097310717,-0.36022681526086053,-179.63977318473914,False,False,1676277.1949473848,1676378.2481968766,True
0.0666,37.924948,128.18188,7000.495219200001,-0.439,1.32,0.145,1.0,37.967162,128.181881,7001.9122344,0.001,-0.469,180.0,1.0,1803.9225303563449,1803.9792692251804,4699.241198812133,1.3106483305338432,-0.4517242258942564,-179.54827577410575,False,False,1695719.6542049868,1695835.9045105868,True
0.0833,37.925217,128.18188,7000.568676,1.103,1.636,0.169,1.0,37.966893,128.181881,7001.616273600001,0.002,-0.553,180.0,1.0,1793.1157557575104,1793.197937238711,4639.351217408385,1.6317226659174378,-0.540063305307148,-179.45993669469286,False,False,1676284.1835794095,1676441.8212880832,True
0.1,37.925486,128.18188,7000.67688,2.646,1.872,0.196,1.0,37.966625,128.181881,7001.2822128,0.004,-0.634,180.0,1.0,1793.1220668300464,1786.5565144058576,4579.572572593261,1.8745824743944053,-0.6264275459197484,-179.37357245408026,False,False,1676296.5612016805,1664551.2137951588,True
0.1166,37.925755,128.18188,7000.8268416,4.185,2.051,0.226,1.0,37.966357,128.181881,7000.909747200001,0.005,-0.714,180.0,1.0,1803.9348505019661,1797.346295984103,4519.793966801851,2.0622423538288923,-0.7129499049178365,-179.28705009508218,False,False,1695745.1309739521,1683882.3254162665,True
0.1333,37.926024,128.18188,7001.021608800001,5.725,2.191,0.256,1.0,37.966089,128.181881,7000.498572,0.007,-0.793,180.001,1.0,1793.1482883994415,1786.614183430179,4460.015430165682,2.2124416087705754,-0.7997192249555127,-179.2002807750445,False,False,1676346.960654862,1664646.5595380466,True
0.15,37.926292,128.181881,7001.263315200001,7.271,2.302,0.288,1.0,37.965822,128.181881,7000.0483824,0.008,-0.871,180.001,1.0,1786.5108901718925,1779.982829305642,4400.459638775571,2.335633579820634,-0.8868194846177115,-179.1131805153823,False,False,1664469.51924139,1652816.4607807223,True
0.1666,37.926561,128.181881,7001.552265600001,8.829,2.393,0.32,1.0,37.965555,128.181881,6999.558873600001,0.01,-0.949,180.001,1.0,1803.9962101917588,1790.7430559604866,4340.792681698967,2.44037075871519,-0.9753120554338786,-179.02468794456612,False,False,1695862.9357185604,1672022.5702631406,True
0.1833,37.926829,128.181882,7001.8878504,10.403,2.47,0.353,1.0,37.965289,128.181881,6999.0303504,0.012,-1.028,180.001,1.0,1786.5652758437138,1773.395266618332,4281.348570400455,2.5331079751204824,-1.0662431370381666,-178.93375686296184,False,False,1664572.8059133878,1641102.4268179028,True
0.2,37.927097,128.181883,7002.268850400001,11.995,2.537,0.387,1.0,37.965022,128.181881,6998.4622032,0.014,-1.107,180.002,1.0,1786.597933336582,1780.1038122106318,4221.793408149534,2.617764607234474,-1.1586699490298145,-178.84133005097019,False,False,1664634.887523048,1653016.2604884233,True
