time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.1666,37.926545,128.181876,7003.1786784000005,-94.911,-3.204,5.086,1.0,37.965555,128.181881,6999.558873600001,0.01,-0.949,180.001,1.0,1777.0976592387979,1790.7430559604866,4342.57486670776,5.978547384248642,-0.9967711047053187,-179.00322889529468,False,False,1647715.7674225387,1672022.5702631406,False
0.1833,37.92681,128.181877,7003.0204872,-106.436,-2.806,5.829,1.0,37.965289,128.181881,6999.0303504,0.012,-1.028,180.001,1.0,1766.4802328741964,1773.395266618332,4283.464559083494,6.439858732838563,-1.0813785477947166,-178.9186214522053,False,False,1628902.3774284376,1641102.4268179028,False
0.2,37.927074,128.181879,7002.749520000001,-117.374,-2.243,6.466,1.0,37.965022,128.181881,6998.4622032,0.014,-1.107,180.002,1.0,1759.8873905664282,1780.1038122106318,4224.354215883334,6.821289976514484,-1.1651498265118962,-178.8348501734881,False,False,1617275.327317664,1653016.2604884233,False
0.2166,37.927338,128.181881,7002.3721776,-127.786,-1.551,6.973,1.0,37.964756,128.18188,6997.854736800001,0.016,-1.186,180.002,1.0,1770.5597981443416,1784.1774085849277,4165.355157072922,7.130490457492101,-1.2481429630057757,-178.75185703699424,False,False,1636110.8125179268,1660270.0248070536,False
0.2333,37.927601,128.181885,7001.893641600001,-137.731,-0.767,7.331,1.0,37.964491,128.18188,6997.2070368,0.018,-1.266,180.002,1.0,1753.4756372375632,1766.8727372847302,4106.5787131137995,7.3703566546179715,-1.3314132228616335,-178.66858677713836,False,False,1606003.5254732359,1629538.7952674523,False
0.25,37.927864,128.181888,7001.321836800001,-147.18,0.077,7.53,1.0,37.964225,128.18188,6996.5200176,0.021,-1.346,180.003,1.0,1753.5206160056987,1773.590024926934,4047.6909139207237,7.541335467773471,-1.4140298494983092,-178.58597015050168,False,False,1606076.7881693572,1641423.211290758,False
0.2666,37.928127,128.181893,7000.6665168,-156.068,0.949,7.569,1.0,37.96396,128.18188,6995.7927648,0.023,-1.426,180.003,1.0,1764.3162749434262,1777.6282018006063,3988.9144543764214,7.653215820855574,-1.4961311041000993,-178.5038688958999,False,False,1625059.0453121003,1648586.3030353545,False
0.2833,37.928389,128.181898,6999.9398736,-164.351,1.816,7.454,1.0,37.963696,128.18188,6995.0252784,0.026,-1.507,180.003,1.0,1747.189238140237,1760.3811642169314,3930.360651915469,7.710468235293299,-1.578858449651983,-178.421141550348,False,False,1594981.0772979704,1618068.6863113008,False
0.3,37.928651,128.181903,6999.154708800001,-171.997,2.652,7.198,1.0,37.963431,128.18188,6994.217558400001,0.028,-1.588,180.004,1.0,1747.2800185067333,1767.1090381744414,3871.695564478702,7.722175067963625,-1.6614086378436004,-178.3385913621564,False,False,1595131.9920614988,1629927.020017983,False
0.3166,37.928913,128.18191,6998.324738400001,-178.998,3.434,6.823,1.0,37.963167,128.18188,6993.3696048,0.031,-1.669,180.004,1.0,1758.0714852320948,1771.1190479565435,3813.1419671941035,7.7038334504796415,-1.7439997462799721,-178.25600025372003,False,False,1614037.7948889222,1637012.8690521584,False
